content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
this is the best app so far. very convenient. it will recommend you the cheaper price at the nearest pharmacy. .,21,this is the best app so far very convenient it will recommend you the cheaper price at the nearest pharmacy,20,best app far convenient recommend cheaper price nearest pharmacy,9
helpful app and easy to use,6,helpful app and easy to use,6,helpful app easy use,4
halodoc is very helpful and i am really happy to buy medicine at a discount.,15,halodoc is very helpful and  am really happy to buy medicine at  discount,13,halodoc helpful really happy buy medicine discount,7
very...very useful and beneficial.... thank you halodoc 🙏🙏🙏🙏,8,useful and beneficial thank you halodoc,6,useful beneficial thank halodoc,4
no need to wait for the recipe which usually takes more than 1 hour because of this app. very useful,20,no need to wait for the recipe which usually takes more than hour because of this app very useful,19,wait recipe usually takes hour app useful,7
cool,1,cool,1,cool,1
this app has a positive impact,6,this app has  positive impact,5,app positive impact,3
awesome,1,awesome,1,awesome,1
"cool. complaints get no response. in the chat application connected to a live agent, it is ignored.",17,cool complaints get no response in the chat application connected to  live agent it is ignored,16,cool complaints get response chat application connected live agent ignored,10
increase cooperation with other large pharmacies...,6,increase cooperation with other large pharmacies,6,increase cooperation large pharmacies,4
very helpful,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
"really helpful 👍👍👍 it would be better if the pharmacy locations were displayed when choosing a pharmacy. yesterday, when i needed an emergency, i just clicked on it and it turned out that the distance of the pharmacy listed on the application display was about 15km.. i feel sorry for the driver if he only delivers light medicines🤭",58,really helpful it would be better if the pharmacy locations were displayed when choosing  pharmacy yesterday when  needed an emergency  just clicked on it and it turned out that the distance of the pharmacy listed on the application display was about km  feel sorry for the driver if he only delivers light medicines,53,really helpful better pharmacy locations displayed choosing pharmacy yesterday needed emergency clicked turned distance pharmacy listed application display km feel sorry driver delivers light medicines,25
crazy. no stock written in stock. refunded with an amount below the price in the app. paying shipping and waiting for a long time in vain. it's crazy to seek profit like this.,33,crazy no stock written in stock refunded with an amount below the price in the app paying shipping and waiting for  long time in vain its crazy to seek profit like this,32,crazy stock written stock refunded amount price app paying shipping waiting long time vain crazy seek profit like,18
"great, you can consult directly with a doctor",8,great you can consult directly with  doctor,7,great consult directly doctor,4
very helpful,2,very helpful,2,helpful,1
"it seems like the location filter in the covid-19 vaccination menu is not working. i've changed the location, but all the location lists appear. please fix it.",27,it seems like the location filter in the covid vaccination menu is not working ive changed the location but all the location lists appear please fix it,27,seems like location filter covid vaccination menu working ive changed location location lists appear please fix,16
okay,1,okay,1,okay,1
the application is very helpful especially during this pandemic,9,the application is very helpful especially during this pandemic,9,application helpful especially pandemic,4
useful and helpful apps,4,useful and helpful apps,4,useful helpful apps,3
cool,1,cool,1,cool,1
help a lot,3,help  lot,2,help lot,2
good,1,good,1,good,1
"good, very helpful",3,good very helpful,3,good helpful,2
great app!,2,great app,2,great app,2
good,1,good,1,good,1
good,1,good,1,good,1
awesome,1,awesome,1,awesome,1
great app..keep it up,4,great it up,3,great,1
the application is very useful and the response is fast,10,the application is very useful and the response is fast,10,application useful response fast,4
helpful...nice app,2,app,1,app,1
"you can even buy medicine at night, and doctor consultations are also okay.",13,you can even buy medicine at night and doctor consultations are also okay,13,even buy medicine night doctor consultations also okay,8
very helpful👍,2,very helpful,2,helpful,1
good app,2,good app,2,good app,2
"the doctor is good, the explanation is right and appropriate. - dr. otto tanujaya👍🏼",14,the doctor is good the explanation is right and appropriate dr otto tanujaya,13,doctor good explanation right appropriate dr otto tanujaya,8
helpful,1,helpful,1,helpful,1
very helpful,2,very helpful,2,helpful,1
good app,2,good app,2,good app,2
great....i like it,3,greati like it,3,greati like,2
excellent,1,excellent,1,excellent,1
very helpful,2,very helpful,2,helpful,1
great app,2,great app,2,great app,2
dabest!!! 😍,2,dabest,1,dabest,1
good and friendly doctor,4,good and friendly doctor,4,good friendly doctor,3
good,1,good,1,good,1
useful,1,useful,1,useful,1
this application is very helpful,5,this application is very helpful,5,application helpful,2
really helpful in emergency,4,really helpful in emergency,4,really helpful emergency,3
"fast service, questions answered immediately, medicine also sent quickly, thank you",11,fast service questions answered immediately medicine also sent quickly thank you,11,fast service questions answered immediately medicine also sent quickly thank,10
driver where is the location where...,6,driver where is the location where,6,driver location,2
good,1,good,1,good,1
helping to consult doctors and buy medicine,7,helping to consult doctors and buy medicine,7,helping consult doctors buy medicine,5
very helpful,2,very helpful,2,helpful,1
"very disappointed with the cs halodoc service, not helpful at all either by phone, by chat or by email. no response at all, every time the phone is contacted it is always busy. hello, please improve the quality of customer service. please follow up on my refund process. very bad apps",51,very disappointed with the cs halodoc service not helpful at all either by phone by chat or by email no response at all every time the phone is contacted it is always busy hello please improve the quality of customer service please follow up on my refund process very bad apps,51,disappointed cs halodoc service helpful either phone chat email response every time phone contacted always busy hello please improve quality customer service please follow refund process bad apps,28
"want to check up using selfie photos and all, this makes it complicated for users. is it mandatory to regulate? don't be pretentious and make things difficult for users.",29,want to check up using selfie photos and all this makes it complicated for users is it mandatory to regulate dont be pretentious and make things difficult for users,29,want check using selfie photos makes complicated users mandatory regulate dont pretentious make things difficult users,16
"very helpful, thank you halodoc",5,very helpful thank you halodoc,5,helpful thank halodoc,3
good,1,good,1,good,1
best app ever. help me so muchhhhh. keep going hellodoc!,10,best app ever help me so muchhhhh keep going hellodoc,10,best app ever help muchhhhh keep going hellodoc,8
very helpful during the pandemic,5,very helpful during the pandemic,5,helpful pandemic,2
great,1,great,1,great,1
"easy to use,",3,easy to use,3,easy use,2
"the doctor is kind, patient, helpful",6,the doctor is kind patient helpful,6,doctor kind patient helpful,4
awesome,1,awesome,1,awesome,1
"amazing, this application is very useful and helpful in condition the person is not willing to go to the doctor or hospital directly, the price affordable details of medicine are also clear and the doctor is also very helpful thank you halodoc to create this application",46,amazing this application is very useful and helpful in condition the person is not willing to go to the doctor or hospital directly the price affordable details of medicine are also clear and the doctor is also very helpful thank you halodoc to create this application,46,amazing application useful helpful condition person willing go doctor hospital directly price affordable details medicine also clear doctor also helpful thank halodoc create application,24
"the prescription upload was successful, when contacted, they said to wait until tomorrow because the pharmacist had gone home and asked for the prescription to be uploaded again, the next morning the status was: rejected without any explanation. what kind of service? recommendation to uninstall this application as i have done after writing this comment. thank you",57,the prescription upload was successful when contacted they said to wait until tomorrow because the pharmacist had gone home and asked for the prescription to be uploaded again the next morning the status was rejected without any explanation what kind of service recommendation to uninstall this application as  have done after writing this comment thank you,56,prescription upload successful contacted said wait tomorrow pharmacist gone home asked prescription uploaded next morning status rejected without explanation kind service recommendation uninstall application done writing comment thank,28
good application,2,good application,2,good application,2
very helpful in emergency,4,very helpful in emergency,4,helpful emergency,2
good,1,good,1,good,1
"alhamdulillah, this application really helps. the doctor is fast in responding and communicative.. very helpful ❤❤",16,alhamdulillah this application really helps the doctor is fast in responding and communicative very helpful,15,alhamdulillah application really helps doctor fast responding communicative helpful,9
"helping people, before long queue at the clinic",8,helping people before long queue at the clinic,8,helping people long queue clinic,5
best,1,best,1,best,1
"awesome, dr. abdillah habib is friendly... even though it's free, you know.",12,awesome dr abdillah habib is friendly even though its free you know,12,awesome dr abdillah habib friendly even though free know,9
"very helpful, fast delivery",4,very helpful fast delivery,4,helpful fast delivery,3
very helpful,2,very helpful,2,helpful,1
"thanks, doc, for the information.",5,thanks doc for the information,5,thanks doc information,3
great apps. this app changes how i see the health care system,12,great apps this app changes how  see the health care system,11,great apps app changes see health care system,8
"responsive, the doctor is good",5,responsive the doctor is good,5,responsive doctor good,3
great,1,great,1,great,1
"good app. for improvement, please allow the delivery address to be written manually, in addition to the map search. my address cannot be found in map, so cannot buy the medicine thru this app.",34,good app for improvement please allow the delivery address to be written manually in addition to the map search my address cannot be found in map so cannot buy the medicine thru this app,34,good app improvement please allow delivery address written manually addition map search address cannot found map cannot buy medicine thru app,21
fast response,2,fast response,2,fast response,2
very very helpful,3,very very helpful,3,helpful,1
"very helpful, thank you halodoc",5,very helpful thank you halodoc,5,helpful thank halodoc,3
very responsive and solution-oriented,4,very responsive and solutionoriented,4,responsive solutionoriented,2
"thank you, doctor praisy.",4,thank you doctor praisy,4,thank doctor praisy,3
good,1,good,1,good,1
fast and not complicated...suggestion to attach if possible voice too,10,fast and not tion to attach if possible voice too,10,fast tion attach possible voice,5
very useful,2,very useful,2,useful,1
easy and very helpful,4,easy and very helpful,4,easy helpful,2
excellent,1,excellent,1,excellent,1
okay,1,okay,1,okay,1
i've been using this app for a long time then i need to uninstall it because there's no space in my phone. after that i tried to install using a different phone. but it said i couldn't install halodoc,39,ive been using this app for  long time then  need to uninstall it because theres no space in my phone after that  tried to install using  different phone but it said  couldnt install halodoc,34,ive using app long time uninstall theres space phone tried install using different phone said couldnt install halodoc,18
good application,2,good application,2,good application,2
best service,2,best service,2,best service,2
ok...questions answered quickly..,3,ons answered quickly,3,ons answered quickly,3
good good good ⭐️⭐️⭐️⭐️⭐️,4,good good good,3,good good good,3
"bad system. no service usage but status changed to ""completed"". refund claimed since 27th and all evidence has been submitted. refund processing time maximum 14 days but until 19th no refund process received.",33,bad system no service usage but status changed to completed refund claimed since th and all evidence has been submitted refund processing time maximum days but until th no refund process received,32,bad system service usage status changed completed refund claimed since th evidence submitted refund processing time maximum days th refund process received,22
very helpful. practical. awesome.,4,very helpful practical awesome,4,helpful practical awesome,3
good packing and fast thank you,6,good packing and fast thank you,6,good packing fast thank,4
very helpful,2,very helpful,2,helpful,1
"when the pandemic comes, halodoc to the rescue... this app is very useful!",13,when the pandemic comes halodoc to the rescue this app is very useful,13,pandemic comes halodoc rescue app useful,6
courier payments should be made in cash,7,courier payments should be made in cash,7,courier payments made cash,4
"top markotop,,,,practical solution,,,health check",4,top markotop practical solution health check,6,top markotop practical solution health check,6
"easy to use, very helpful, the doctor also understands the patient's illness and the practical way the app works makes it very easy for the patient. the delivery of the medicine is also immediate. thank you very much...",38,easy to use very helpful the doctor also understands the patients illness and the practical way the app works makes it very easy for the patient the delivery of the medicine is also immediate thank you very much,38,easy use helpful doctor also understands patients illness practical way app works makes easy patient delivery medicine also immediate thank much,21
good service,2,good service,2,good service,2
very helpful,2,very helpful,2,helpful,1
it's much easier to reach the doctor you need with your smartphone,12,its much easier to reach the doctor you need with your smartphone,12,much easier reach doctor smartphone,5
very helpful. especially if it's free then. haha,8,very helpful especially if its free then haha,8,helpful especially free haha,4
helpful,1,helpful,1,helpful,1
"very helpful during a pandemic like this. the input is so that digital prescription copies can be downloaded, so that it gives patients the option to redeem medicine outside the application or in the application, payment methods so that they can be more complete, and if redeeming medicine in the application, the shipping fee should only be charged once, so that the gojek driver can pick it up at 2 different places. and try to add more promotions. the rest is okay. thank you halodoc",85,very helpful during  pandemic like this the input is so that digital prescription copies can be downloaded so that it gives patients the option to redeem medicine outside the application or in the application payment methods so that they can be more complete and if redeeming medicine in the application the shipping fee should only be charged once so that the gojek driver can pick it up at different places and try to add more promotions the rest is okay thank you halodoc,83,helpful pandemic like input digital prescription copies downloaded gives patients option redeem medicine outside application application payment methods complete redeeming medicine application shipping fee charged gojek driver pick different places try add promotions rest okay thank halodoc,37
"if you are in a hurry and choose a doctor's consultation, you cannot change your profile in the middle of the consultation. then because the consultation does not match the profile, the prescription cannot be checked out because the prescription does not match the profile. call cs and instead be advised to complain via email and not told when the solution will be. then given a whatsapp number but the number is not registered on whatsapp. why is it getting worse instead of better?",84,if you are in  hurry and choose  doctors consultation you cannot change your profile in the middle of the consultation then because the consultation does not match the profile the prescription cannot be checked out because the prescription does not match the profile call cs and instead be advised to complain via email and not told when the solution will be then given  whatsapp number but the number is not registered on whatsapp why is it getting worse instead of better,81,hurry choose doctors consultation cannot change profile middle consultation consultation match profile prescription cannot checked prescription match profile call cs instead advised complain via email told solution given whatsapp number number registered whatsapp getting worse instead better,37
"disappointing and dangerous. i have ordered at a certain time and have been confirmed to arrive 15 minutes earlier, but after arriving at the hospital it turns out i have to wait for more than 1 hour. please, if possible, have a real-time app so i know when to arrive, i am bringing a sick person, not for recreation!!!!!",59,disappointing and dangerous  have ordered at  certain time and have been confirmed to arrive minutes earlier but after arriving at the hospital it turns out  have to wait for more than hour please if possible have  realtime app so  know when to arrive  am bringing  sick person not for recreation,50,disappointing dangerous ordered certain time confirmed arrive minutes earlier arriving hospital turns wait hour please possible realtime app know arrive bringing sick person recreation,24
good job!,2,good job,2,good job,2
"the app seems unstable, it takes time to load the prescription preview. also takes time to send the message to the doctor while actually the internet connection is fast enough for the other app.",34,the app seems unstable it takes time to load the prescription preview also takes time to send the message to the doctor while actually the internet connection is fast enough for the other app,34,app seems unstable takes time load prescription preview also takes time send message doctor actually internet connection fast enough app,20
i've been treated 3 times and all the doctors are satisfactory.,11,ive been treated times and all the doctors are satisfactory,10,ive treated times doctors satisfactory,5
very practical and useful,4,very practical and useful,4,practical useful,2
quite helpful,2,quite helpful,2,quite helpful,2
many items are unavailable,4,many items are unavailable,4,many items unavailable,3
very helpful. thank you.,4,very helpful thank you,4,helpful thank,2
the app is very helpful 👍👍,6,the app is very helpful,5,app helpful,2
good good good,3,good good good,3,good good good,3
it was really nice chatting with the doctor,8,it was really nice chatting with the doctor,8,really nice chatting doctor,4
"thank you so much! this app was very helpful when my dad was exposed and had to self-isolate. the number of cases was at its peak and many of our regular pharmacies were out of stock... if it weren't for this app, things would definitely be much more difficult for us. thank you so much.",55,thank you so much this app was very helpful when my dad was exposed and had to selfisolate the number of cases was at its peak and many of our regular pharmacies were out of stock if it werent for this app things would definitely be much more difficult for us thank you so much,55,thank much app helpful dad exposed selfisolate number cases peak many regular pharmacies stock werent app things definitely much difficult us thank much,23
"fast response, short and clear explanation, friendly..👍🏻",7,fast response short and clear explanation friendly,7,fast response short clear explanation friendly,6
fast and precise,3,fast and precise,3,fast precise,2
fast response,2,fast response,2,fast response,2
good response. it turns out that the isoman medicine is covered by the government. i didn't know because i wasn't familiar with the features. i bought it myself,28,good response it turns out that the isoman medicine is covered by the government  didnt know because  wasnt familiar with the features  bought it myself,25,good response turns isoman medicine covered government didnt know wasnt familiar features bought,13
okay,1,okay,1,okay,1
easy to follow,3,easy to follow,3,easy follow,2
in accordance,2,in accordance,2,accordance,1
good,1,good,1,good,1
good app so helpful and easy to use,8,good app so helpful and easy to use,8,good app helpful easy use,5
application response and delivery service are very fast,8,application response and delivery service are very fast,8,application response delivery service fast,5
it's really helpful when the hospital is in the red zone,11,its really helpful when the hospital is in the red zone,11,really helpful hospital red zone,5
helpfull 😊,2,helpfull,1,helpfull,1
amazing,1,amazing,1,amazing,1
"now with the covid19 pandemic and my feet hurt when i walk, being able to get treatment without leaving the house is very helpful with the existence of halodoc... thank you very much😊🥰 the doctor is also cool, the response is fast and nice... thank you to dr. hajri yansyah.😊",50,now with the covid pandemic and my feet hurt when  walk being able to get treatment without leaving the house is very helpful with the existence of halodoc thank you very much the doctor is also cool the response is fast and nice thank you to dr hajri yansyah,49,covid pandemic feet hurt walk able get treatment without leaving house helpful existence halodoc thank much doctor also cool response fast nice thank dr hajri yansyah,26
what do you expect with a 50k doctor? lmao.,9,what do you expect with   doctor lmao,7,expect doctor lmao,3
good,1,good,1,good,1
first time online consultation.,4,first time online consultation,4,first time online consultation,4
the best,2,the best,2,best,1
very good app,3,very good app,3,good app,2
great,1,great,1,great,1
good,1,good,1,good,1
very helpful...!!,2,very helpful,2,helpful,1
"alhamdulillah...hallodoc can help me who can't leave the house to see a doctor, thank you",15,oc can help me who cant leave the house to see  doctor thank you,14,oc help cant leave house see doctor thank,8
"my money was not refunded!! i canceled because i wanted to change the day, but it turned out that my money was not refunded until more than 14 working days. maybe the money is not much for some people, but we don't know how hard the person tried to get it.",51,my money was not refunded  canceled because  wanted to change the day but it turned out that my money was not refunded until more than working days maybe the money is not much for some people but we dont know how hard the person tried to get it,48,money refunded canceled wanted change day turned money refunded working days maybe money much people dont know hard person tried get,21
customer service late response,4,customer service late response,4,customer service late response,4
love this application :) so helpful,6,love this application so helpful,5,love application helpful,3
"very helpful application, the doctor's response is very fast and friendly, thank you for the consultation",16,very helpful application the doctors response is very fast and friendly thank you for the consultation,16,helpful application doctors response fast friendly thank consultation,8
"short, concise but clear suggestions and solutions",7,short concise but clear suggestions and solutions,7,short concise clear suggestions solutions,5
the doctor is responsive,4,the doctor is responsive,4,doctor responsive,2
i always have trouble finding a consultation for a vet. thanks to halodoc i have been helped a lot. thank you.,21, always have trouble finding  consultation for  vet thanks to halodoc  have been helped  lot thank you,16,always trouble finding consultation vet thanks halodoc helped lot thank,10
helpful and accommodating,3,helpful and accommodating,3,helpful accommodating,2
good,1,good,1,good,1
good app,2,good app,2,good app,2
"actually this app is very helpful, it's just that lately the app has an error, it can't be clicked at all. please help",23,actually this app is very helpful its just that lately the app has an error it cant be clicked at all please help,23,actually app helpful lately app error cant clicked please help,10
good,1,good,1,good,1
great app 👍🏻,3,great app,2,great app,2
very helpful,2,very helpful,2,helpful,1
"have ordered medicine here several times.. it really helps when out of town, helps those at home find medicine or when looking for medicine while the weather or conditions are not supportive. haven't tried other features but so far the application is quite user friendly and the payment gateway is complete and easy. keep up the good work!",58,have ordered medicine here several times it really helps when out of town helps those at home find medicine or when looking for medicine while the weather or conditions are not supportive havent tried other features but so far the application is quite user friendly and the payment gateway is complete and easy keep up the good work,58,ordered medicine several times really helps town helps home find medicine looking medicine weather conditions supportive havent tried features far application quite user friendly payment gateway complete easy keep good work,31
good,1,good,1,good,1
great apps,2,great apps,2,great apps,2
so far i really like the app. this is very helpful and useful in this pandemic time. keep up the good work,22,so far  really like the app this is very helpful and useful in this pandemic time keep up the good work,21,far really like app helpful useful pandemic time keep good work,11
very helpful in providing access to healthcare at affordable prices,10,very helpful in providing access to healthcare at affordable prices,10,helpful providing access healthcare affordable prices,6
helpful,1,helpful,1,helpful,1
really helpful... thanks hellodoc,4,really helpful thanks hellodoc,4,really helpful thanks hellodoc,4
very helpful,2,very helpful,2,helpful,1
nice,1,nice,1,nice,1
"the medicine is good, after taking it at dawn, it will come in 20 minutes, then keep increasing it, okay?",20,the medicine is good after taking it at dawn it will come in minutes then keep increasing it okay,19,medicine good taking dawn come minutes keep increasing okay,9
"fast consultation, fast delivery of medicine. very helpful",8,fast consultation fast delivery of medicine very helpful,8,fast consultation fast delivery medicine helpful,6
very good,2,very good,2,good,1
good app.. 👍👍👍👍,3,good app,2,good app,2
"the application seems unstable. there is always an error ""something is wrong"". this application is not very good.",18,the application seems unstable there is always an error something is wrong this application is not very good,18,application seems unstable always error something wrong application good,9
very helpful,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
well done,2,well done,2,well done,2
"helpful, when you can't find a doctor either go to hospital or just consult when you just realized what you need to know after going home from hospital. best app good doctor",32,helpful when you cant find  doctor either go to hospital or just consult when you just realized what you need to know after going home from hospital best app good doctor,31,helpful cant find doctor either go hospital consult realized know going home hospital best app good doctor,17
"prescriptions must be ordered through the app, you can't redeem them yourself at partner pharmacies. then when you want to add more medicine to your order... you can't tell if it's available at the same pharmacy or not. so the shipping costs are doubled. the vouchers are also unclear. there's a notification saying ""voucher has been used"", but when you use it, you can't... it says ""voucher has been used"".. even though you've never used it.",76,prescriptions must be ordered through the app you cant redeem them yourself at partner pharmacies then when you want to add more medicine to your order you cant tell if its available at the same pharmacy or not so the shipping costs are doubled the vouchers are also unclear theres  notification saying voucher has been used but when you use it you cant it says voucher has been used even though youve never used it,75,prescriptions must ordered app cant redeem partner pharmacies want add medicine order cant tell available pharmacy shipping costs doubled vouchers also unclear theres notification saying voucher used use cant says voucher used even though youve never used,37
definitely a helpful app,4,definitely  helpful app,3,definitely helpful app,3
"this is the first time i've used this application, and i feel amazing 🤣 because i'm too lazy to get ready to go to the hospital, order a motorbike taxi, etc., but then i'll have to queue, but because of this application, getting treatment is that easy... thank you halodoc 💕",51,this is the first time ive used this application and  feel amazing because im too lazy to get ready to go to the hospital order  motorbike taxi etc but then ill have to queue but because of this application getting treatment is that easy thank you halodoc,47,first time ive used application feel amazing im lazy get ready go hospital order motorbike taxi etc ill queue application getting treatment easy thank halodoc,25
really helpful,2,really helpful,2,really helpful,2
"cool, very helpful when i don't have time to see a doctor in person.",14,cool very helpful when  dont have time to see  doctor in person,12,cool helpful dont time see doctor person,7
fast and very helpful information,5,fast and very helpful information,5,fast helpful information,3
good,1,good,1,good,1
thanks for help,3,thanks for help,3,thanks help,2
thank you.. blessings deeply,4,thank you blessings deeply,4,thank blessings deeply,3
very useful during the pandemic,5,very useful during the pandemic,5,useful pandemic,2
"order number 61jkb5-5021 at meilia cibubur hospital, 20 minutes from home. chronology: 1. offered by the officer at the hospital to use halodoc because of the long queue. if only i was patient, it wouldn't take 30 minutes to finish bringing the medicine. promised 1 hour delivery. 2. received an sms ordering this service at 19.46 3. the medicine arrived at home at 22.53. about 4 hours waiting. this is bad service. tricking consumers. call cs who answers by machine. suitable for those who like to waste time on unimportant things.",91,order number jkb at meilia cibubur hospital minutes from home chronology offered by the officer at the hospital to use halodoc because of the long queue if only  was patient it wouldnt take minutes to finish bringing the medicine promised hour delivery received an sms ordering this service at the medicine arrived at home at about hours waiting this is bad service tricking consumers call cs who answers by machine suitable for those who like to waste time on unimportant things,81,order number jkb meilia cibubur hospital minutes home chronology offered officer hospital use halodoc long queue patient wouldnt take minutes finish bringing medicine promised hour delivery received sms ordering service medicine arrived home hours waiting bad service tricking consumers call cs answers machine suitable like waste time unimportant things,49
very helpful during the pandemic,5,very helpful during the pandemic,5,helpful pandemic,2
great app,2,great app,2,great app,2
good,1,good,1,good,1
okay,1,okay,1,okay,1
the service is satisfactory and very helpful to me.. thank you,11,the service is satisfactory and very helpful to me thank you,11,service satisfactory helpful thank,4
very helpful!!!,2,very helpful,2,helpful,1
"good doctor, comfortable consultation",4,good doctor comfortable consultation,4,good doctor comfortable consultation,4
"seriously, i have consulted with different doctors twice in a row, but there is no response and it always says connection error, when paying there is no error, when chatting there is an error, but the time limit is not an error, it's serious!!!! not recommended, even complaints are not responded to.",52,seriously  have consulted with different doctors twice in  row but there is no response and it always says connection error when paying there is no error when chatting there is an error but the time limit is not an error its serious not recommended even complaints are not responded to,50,seriously consulted different doctors twice row response always says connection error paying error chatting error time limit error serious recommended even complaints responded,23
"the application is smooth, chat with the doctor also has a fast response, just when you want to enter health insurance, why can't you??? even though i personally have private insurance from the office. please fix that",37,the application is smooth chat with the doctor also has  fast response just when you want to enter health insurance why cant you even though  personally have private insurance from the office please fix that,35,application smooth chat doctor also fast response want enter health insurance cant even though personally private insurance office please fix,20
good doctor 👍,3,good doctor,2,good doctor,2
easy to use,3,easy to use,3,easy use,2
"there are many choices of doctors, they are friendly and fast response",12,there are many choices of doctors they are friendly and fast response,12,many choices doctors friendly fast response,6
it really helps to buy medicine if you can't buy it directly. and it helps to consult a doctor if you are unable to consult directly.,26,it really helps to buy medicine if you cant buy it directly and it helps to consult  doctor if you are unable to consult directly,25,really helps buy medicine cant buy directly helps consult doctor unable consult directly,13
